id,countryCode,date,totalCases,newCases,totalDeaths,newDeaths
4434,COM,2020-05-17,11,0,1,0
4435,COM,2020-05-18,11,0,1,0
4436,COM,2020-05-19,11,0,1,0
4437,COM,2020-05-20,34,23,1,0
4438,COM,2020-05-21,34,0,1,0
4439,COM,2020-05-22,34,0,1,0
4440,COM,2020-05-23,78,44,1,0
4441,COM,2020-05-24,78,0,1,0
4442,COM,2020-05-25,87,9,1,0
4443,COM,2020-05-26,87,0,1,0
4444,COM,2020-05-27,87,0,1,0
4445,COM,2020-05-28,87,0,2,1
4446,COM,2020-05-29,87,0,2,0
4447,COM,2020-05-30,87,0,2,0
4448,COM,2020-05-31,106,19,2,0
4449,COM,2020-06-01,106,0,2,0
4450,COM,2020-06-02,106,0,2,0
4451,COM,2020-06-03,132,26,2,0
4452,COM,2020-06-04,132,0,2,0
4453,COM,2020-06-05,132,0,2,0
4454,COM,2020-06-06,132,0,2,0
4455,COM,2020-06-07,141,9,2,0
4456,COM,2020-06-08,141,0,2,0
4457,COM,2020-06-09,141,0,2,0
4458,COM,2020-06-10,162,21,2,0
4459,CRI,2020-03-07,1,1,0,0
4460,CRI,2020-03-09,5,4,0,0
4461,CRI,2020-03-10,9,4,0,0
4462,CRI,2020-03-11,13,4,0,0
4463,CRI,2020-03-12,22,9,0,0
4464,CRI,2020-03-13,23,1,0,0
4465,CRI,2020-03-14,26,3,0,0
4466,CRI,2020-03-15,27,1,0,0
4467,CRI,2020-03-16,35,8,0,0
4468,CRI,2020-03-17,41,6,0,0
4469,CRI,2020-03-18,50,9,0,0
4470,CRI,2020-03-19,69,19,1,1
4471,CRI,2020-03-20,87,18,1,0
4472,CRI,2020-03-21,113,26,2,1
4473,CRI,2020-03-22,117,4,2,0
4474,CRI,2020-03-23,134,17,2,0
4475,CRI,2020-03-24,158,24,2,0
4476,CRI,2020-03-25,177,19,2,0
4477,CRI,2020-03-26,201,24,2,0
4478,CRI,2020-03-27,231,30,2,0
4479,CRI,2020-03-28,263,32,2,0
4480,CRI,2020-03-29,295,32,2,0
4481,CRI,2020-03-30,314,19,2,0
4482,CRI,2020-03-31,330,16,2,0
4483,CRI,2020-04-01,347,17,2,0
4484,CRI,2020-04-02,375,28,2,0
4485,CRI,2020-04-03,396,21,2,0
4486,CRI,2020-04-04,416,20,2,0
4487,CRI,2020-04-05,435,19,2,0
4488,CRI,2020-04-06,454,19,2,0
4489,CRI,2020-04-07,467,13,2,0
4490,CRI,2020-04-08,483,16,2,0
4491,CRI,2020-04-09,502,19,2,0
4492,CRI,2020-04-10,539,37,3,1
4493,CRI,2020-04-11,558,19,3,0
4494,CRI,2020-04-12,577,19,3,0
4495,CRI,2020-04-13,595,18,3,0
4496,CRI,2020-04-14,612,17,3,0
4497,CRI,2020-04-15,618,6,3,0
4498,CRI,2020-04-16,626,8,4,1
4499,CRI,2020-04-17,642,16,4,0
4500,CRI,2020-04-18,649,7,4,0
4501,CRI,2020-04-19,655,6,4,0
4502,CRI,2020-04-20,660,5,4,0
4503,CRI,2020-04-21,662,2,6,2
4504,CRI,2020-04-22,669,7,6,0
4505,CRI,2020-04-23,681,12,6,0
4506,CRI,2020-04-24,687,6,6,0
4507,CRI,2020-04-25,687,0,6,0
4508,CRI,2020-04-26,693,6,6,0
4509,CRI,2020-04-27,695,2,6,0
4510,CRI,2020-04-28,697,2,6,0
4511,CRI,2020-04-29,705,8,6,0
4512,CRI,2020-04-30,713,8,6,0
4513,CRI,2020-05-01,719,6,6,0
4514,CRI,2020-05-02,725,6,6,0
4515,CRI,2020-05-03,733,8,6,0
4516,CRI,2020-05-04,739,6,6,0
4517,CRI,2020-05-05,742,3,6,0
4518,CRI,2020-05-06,755,13,6,0
4519,CRI,2020-05-07,761,6,6,0
4520,CRI,2020-05-08,765,4,6,0
4521,CRI,2020-05-09,773,8,6,0
4522,CRI,2020-05-10,780,7,6,0
4523,CRI,2020-05-11,792,12,6,0
4524,CRI,2020-05-12,801,9,7,1
4525,CRI,2020-05-13,804,3,7,0
4526,CRI,2020-05-14,815,11,7,0
4527,CRI,2020-05-15,830,15,8,1
4528,CRI,2020-05-16,843,13,8,0
4529,CRI,2020-05-17,853,10,10,2
4530,CRI,2020-05-18,863,10,10,0
4531,CRI,2020-05-19,866,3,10,0
4532,CRI,2020-05-20,882,16,10,0
4533,CRI,2020-05-21,897,15,10,0
4534,CRI,2020-05-22,903,6,10,0
4535,CRI,2020-05-23,911,8,10,0
4536,CRI,2020-05-24,918,7,10,0
4537,CRI,2020-05-25,930,12,10,0
4538,CRI,2020-05-26,951,21,10,0
4539,CRI,2020-05-27,956,5,10,0
4540,CRI,2020-05-28,984,28,10,0
4541,CRI,2020-05-29,1000,16,10,0
4542,CRI,2020-05-30,1022,22,10,0
4543,CRI,2020-05-31,1047,25,10,0
4544,CRI,2020-06-01,1056,9,10,0
4545,CRI,2020-06-02,1084,28,10,0
4546,CRI,2020-06-03,1105,21,10,0
4547,CRI,2020-06-04,1157,52,10,0
4548,CRI,2020-06-05,1194,37,10,0
4549,CRI,2020-06-06,1228,34,10,0
4550,CRI,2020-06-07,1263,35,10,0
4551,CRI,2020-06-08,1318,55,10,0
4552,CRI,2020-06-09,1342,24,10,0
4553,CRI,2020-06-10,1375,33,11,1
4554,CIV,2020-03-12,1,1,0,0
4555,CIV,2020-03-15,4,3,0,0
4556,CIV,2020-03-16,4,0,0,0
4557,CIV,2020-03-17,5,1,0,0
4558,CIV,2020-03-18,5,0,0,0
4559,CIV,2020-03-19,6,1,0,0
4560,CIV,2020-03-20,9,3,0,0
4561,CIV,2020-03-21,14,5,0,0
4562,CIV,2020-03-22,17,3,0,0
4563,CIV,2020-03-23,25,8,0,0
4564,CIV,2020-03-24,25,0,0,0
4565,CIV,2020-03-25,73,48,0,0
4566,CIV,2020-03-26,80,7,0,0
4567,CIV,2020-03-27,96,16,0,0
4568,CIV,2020-03-28,101,5,0,0
4569,CIV,2020-03-29,140,39,0,0
4570,CIV,2020-03-30,165,25,1,1
